"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 15 14:31:14 IDT 2020","Sat Aug 15 14:31:15 IDT 2020","1282","Suite","Web Tests","SanityTests.automationpracticeWeb","SanityTests.automationpracticeWeb","Test05_VerifyLogo","Test05: Verify Logo","Test Description: Verify Website Header Logo"
"passed","Sat Aug 15 14:31:05 IDT 2020","Sat Aug 15 14:31:14 IDT 2020","9022","Suite","Web Tests","SanityTests.automationpracticeWeb","SanityTests.automationpracticeWeb","Test04_EditInfo","Test04: User Edits Information","Test Description: User Is Editing His Account Info Name and LastName"
"passed","Sat Aug 15 14:25:16 IDT 2020","Sat Aug 15 14:25:17 IDT 2020","131","Suite","API Tests","SanityTests.GrafanaAPI","SanityTests.GrafanaAPI","Test04_DeleteTeamandVerify","Test04: Delete and Verify Team","Test Description: Delete and Verify Team from Grafana"
"passed","Sat Aug 15 14:29:51 IDT 2020","Sat Aug 15 14:30:01 IDT 2020","9763","Suite","Web Tests","SanityTests.automationpracticeWeb","SanityTests.automationpracticeWeb","Test02_SignOutAndIn","Test02: User SignOut and then Signin to Automation Practice","Test Description: User Logging Out and In to Automation Practice Web Application"
"passed","Sat Aug 15 14:25:12 IDT 2020","Sat Aug 15 14:25:16 IDT 2020","3941","Suite","API Tests","SanityTests.GrafanaAPI","SanityTests.GrafanaAPI","Test01_GetAdminDetails","Test01: Get Admin's Details from Grafana Server","Test Description: Login to Grafana and Get Admin's Details"
"passed","Sat Aug 15 14:28:32 IDT 2020","Sat Aug 15 14:28:32 IDT 2020","487","Suite","Electron Tests","SanityTests.ElectronDemo","SanityTests.ElectronDemo","Test01_ElectronDemoVersion","Verify Electron App Version Number","Test Description: Getting the Electron App Version Number"
"passed","Sat Aug 15 14:25:16 IDT 2020","Sat Aug 15 14:25:16 IDT 2020","233","Suite","API Tests","SanityTests.GrafanaAPI","SanityTests.GrafanaAPI","Test02_AddTeamandVerify","Test02: Add and Verify a New Team","Test Description: Add and Verify a New Team to Grafana"
"passed","Sat Aug 15 14:30:01 IDT 2020","Sat Aug 15 14:31:05 IDT 2020","63685","Suite","Web Tests","SanityTests.automationpracticeWeb","SanityTests.automationpracticeWeb","Test03_Products","Test03: User Chooses Wearing Products","Test Description: User Chooses Blouse, TShirt and Dress to Purchase"
"passed","Sat Aug 15 14:27:59 IDT 2020","Sat Aug 15 14:27:59 IDT 2020","269","Suite","DB Tests","SanityTests.EmployeesDB","SanityTests.EmployeesDB","Test01_EmployeesDB","Getting Name and LastName from Employees DB","Test Description: Getting Name and LastName from Employees DB"
"passed","Sat Aug 15 14:29:24 IDT 2020","Sat Aug 15 14:29:51 IDT 2020","27706","Suite","Web Tests","SanityTests.automationpracticeWeb","SanityTests.automationpracticeWeb","Test01_SignUp","Test01: User Registration to Automation Practice","Test Description: User Registration to Automation Practice Web Application"
"passed","Sat Aug 15 14:25:16 IDT 2020","Sat Aug 15 14:25:16 IDT 2020","111","Suite","API Tests","SanityTests.GrafanaAPI","SanityTests.GrafanaAPI","Test03_UpdateTeamandVerify","Test03: Update and Verify Existing Team","Test Description: Update and Verify an Existing Team in Grafana"
